gene	SRR17276325	SRR17276326	SRR17276331	SRR17276332	SRR17276333	SRR17276334	SRR17276335	SRR17276336	SRR17276337	SRR17276338	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000120324	36.45011	30.69037	38.22421	77.47851	36.14257	32.79376	41.57489	27.84884	48.5625	46.82225	354.21712	-0.47515	0.28687	-1.6563	0.09766	0.99999
ENSG00000197479	9.55488	4.77406	7.64484	9.46425	14.7298	14.21373	5.44174	11.84797	8.96718	6.16723	77.17374	0.04365	0.33988	0.12842	0.89782	0.99999
ENSG00000120328	11.50125	5.59247	5.68702	6.57685	19.09419	24.33984	4.89757	8.79437	8.96718	5.68034	83.39051	0.1493	0.48015	0.31095	0.75584	0.99999
ENSG00000187372	8.67017	2.86443	4.47503	4.01027	15.27535	16.25753	3.48271	8.55008	7.56969	4.21968	62.074	0.15092	0.51104	0.29532	0.76775	0.99999
ENSG00000120327	22.11779	24.9615	42.79247	35.45083	47.18992	36.50977	25.46734	31.75744	24.57239	27.34679	266.41627	-0.01233	0.24656	-0.05001	0.96011	0.99999
ENSG00000113248	18.22506	14.32217	21.16316	44.75467	36.27895	34.00146	12.1895	20.39805	40.29407	64.35016	260.99392	-0.49945	0.46113	-1.08309	0.27877	0.99999
ENSG00000178913	148.45459	150.8602	146.18431	158.00482	101.60834	123.27853	120.69777	102.60097	108.18841	138.03231	1093.59761	-0.12928	0.19036	-0.67912	0.49706	0.99999
ENSG00000273841	24.77192	29.87196	29.83353	35.45083	34.23315	34.93046	33.08577	36.15463	28.0661	31.48532	267.21146	-0.05569	0.14955	-0.37239	0.7096	0.99999
ENSG00000120729	0.70777	0.2728	0.83907	0	0.27277	1.3006	0.54417	0.48858	0.46583	0.08115	4.09239	1.11166	0.81846	1.35823	0.17439	0.99999
ENSG00000078795	10.08571	8.4569	4.28857	2.24575	4.77355	3.71601	3.26504	3.90861	5.70639	3.08361	41.13155	0.15755	0.41581	0.3789	0.70476	0.99999
ENSG00000113141	145.44657	143.22171	140.96345	157.20277	127.65827	129.96734	132.99611	115.1818	132.17852	135.02984	1144.59407	-0.1229	0.12588	-0.97636	0.32889	0.99999
ENSG00000164220	5.8391	3.68284	3.54273	1.4437	4.228	1.7651	3.48271	2.32074	4.3089	2.35328	27.48493	-0.15314	0.39797	-0.3848	0.70039	0.99999
ENSG00000225407	3.00802	3.54644	1.67814	0.96247	1.50026	1.5793	2.1767	1.9543	2.56205	1.13607	16.76979	0.34452	0.41274	0.83473	0.40387	0.99999
ENSG00000181104	75.20048	124.39828	100.68818	126.88509	94.10706	104.14109	127.01019	128.00693	133.92537	129.83639	966.80513	0.03652	0.21797	0.16754	0.86694	0.99999
ENSG00000164251	1.2386	5.45606	1.8646	4.49151	2.18219	3.25151	5.3329	5.25219	2.09622	1.13607	27.13539	0.24557	0.52789	0.46519	0.6418	0.99999
ENSG00000120129	6.01604	7.50209	12.58602	9.78507	9.68348	9.84742	7.40077	8.67222	8.38489	9.33199	75.05504	0.10441	0.23209	0.44989	0.65279	0.99999
ENSG00000037241	15.74786	17.0502	17.15428	13.31411	16.50283	13.65632	16.21638	14.04656	13.04317	15.9861	128.22961	-0.10349	0.15077	-0.68643	0.49244	0.99999
ENSG00000113732	55.206	51.01421	44.84353	58.87083	32.46012	30.09965	47.8873	34.56676	46.46628	49.01324	380.7614	-0.2809	0.23463	-1.19724	0.23121	0.99999
ENSG00000212402	72.90023	80.34056	71.41402	76.03481	40.77972	53.3247	69.11009	43.48327	56.1322	65.64852	531.11636	-0.14099	0.24476	-0.57605	0.56458	0.99999
ENSG00000164463	40.51979	35.87363	35.9867	29.99685	27.27741	27.12685	30.3649	25.5281	31.21043	33.27057	266.63536	-0.09141	0.17336	-0.52731	0.59798	0.99999
ENSG00000113734	7.9624	10.63933	11.18758	12.51206	9.41071	11.24092	11.10115	9.64938	10.94694	10.7115	88.86412	-0.00299	0.18901	-0.01581	0.98739	0.99999
ENSG00000153006	27.07217	26.87112	26.57049	24.22206	36.8245	41.24768	18.93725	32.49031	26.31925	24.66891	237.92468	0.18531	0.19487	0.95093	0.34164	0.99999
ENSG00000113719	85.46313	110.21251	125.67376	177.57496	115.7926	121.14182	150.30084	111.02891	168.39659	180.71602	1143.35034	-0.21785	0.26679	-0.81655	0.41418	0.99999
ENSG00000153015	63.1684	56.60667	60.59937	51.49193	69.83016	74.78464	46.36362	63.75918	47.28148	47.87717	485.5439	0.0863	0.14511	0.59471	0.55204	0.99999
